district,market_name,crop_type,date,season,modal_price,min_price,max_price,price_prev_day,avg_price_7d,avg_price_30d,quantity_arrived_kg,weather_event,transport_strike,import_arrival
Kozhikode,Vadakara,Paddy,2025-10-06,Rabi,23.06,20.31,26.32,24.7,19.79,20.47,8032,None,0,0
Thrissur,Chalakudy,Paddy,2025-10-07,Rabi,21.82,18.81,25.21,22.82,18.98,20.54,7958,Rain,0,0
Ernakulam,Perumbavoor,Paddy,2025-10-08,Rabi,19.2,16.69,21.3,20.03,19.9,20.7,7118,Flood,1,0
Kozhikode,Vadakara,Tomato,2025-10-09,Rabi,30.37,26.84,32.95,30.3,28.91,29.81,12540,Flood,1,0
Kozhikode,Vadakara,Paddy,2025-10-10,Rabi,19.37,17.12,23.21,17.16,23.71,20.37,11709,Drought,0,0
Ernakulam,Perumbavoor,Paddy,2025-10-11,Rabi,23.02,19.26,26.57,28.31,19.13,21.45,9877,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-10-12,Rabi,38.92,36.52,41.33,37.84,38.31,39.96,7576,None,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-10-13,Rabi,31.89,28.27,35.01,31.97,30.63,29.53,10898,Rain,0,1
Ernakulam,Perumbavoor,Banana,2025-10-14,Rabi,34.58,32.46,38.53,32.83,33.46,33.14,9328,Drought,0,0
Ernakulam,Perumbavoor,Tomato,2025-10-15,Rabi,25.78,23.36,29.33,27.79,28.97,31.16,15206,None,0,1
Thrissur,Chalakudy,Banana,2025-10-16,Rabi,31.43,27.69,34.88,29.8,37.84,35.75,11905,None,0,0
Malappuram,Tirur,Paddy,2025-10-17,Rabi,21.51,19.45,24.15,20.56,21.65,20.28,5902,Rain,0,0
Thrissur,Chalakudy,Paddy,2025-10-18,Rabi,18.36,15.26,22.16,18.39,19.3,20.93,8776,Rain,0,0
Malappuram,Tirur,Banana,2025-10-19,Rabi,32.44,29.07,35.35,33.72,34.37,33.99,14636,None,0,0
Ernakulam,Perumbavoor,Banana,2025-10-20,Rabi,34.96,32.73,37.0,37.13,33.31,33.57,8096,None,0,0
Palakkad,Alathur,Paddy,2025-10-21,Rabi,20.14,16.88,24.04,21.59,22.95,21.96,6617,Drought,0,0
Ernakulam,Perumbavoor,Banana,2025-10-22,Rabi,36.17,33.42,38.54,33.41,35.35,33.63,14107,None,0,0
Kozhikode,Vadakara,Banana,2025-10-23,Rabi,31.34,27.63,35.0,33.1,31.8,33.33,9005,None,0,0
Malappuram,Tirur,Onion,2025-10-24,Rabi,36.49,34.18,39.4,36.63,42.71,42.67,12291,Rain,0,0
Ernakulam,Perumbavoor,Tomato,2025-10-25,Rabi,32.23,30.14,35.51,32.58,30.75,29.66,12585,Drought,0,0
Ernakulam,Perumbavoor,Paddy,2025-10-26,Rabi,22.07,20.06,24.13,21.2,20.88,20.94,14479,Rain,0,0
Kollam,Kottarakkara,Onion,2025-10-27,Rabi,37.87,34.4,41.16,37.79,42.87,41.16,16047,Flood,0,1
Thrissur,Chalakudy,Banana,2025-10-28,Rabi,34.05,30.23,36.97,34.53,35.5,35.56,6145,Flood,1,0
Thrissur,Chalakudy,Paddy,2025-10-29,Rabi,18.37,15.47,22.21,20.33,20.58,20.33,8237,None,0,0
Kollam,Kottarakkara,Onion,2025-10-30,Rabi,38.89,35.2,42.63,36.79,43.14,39.98,11826,Drought,0,0
Thrissur,Chalakudy,Banana,2025-10-31,Rabi,35.18,32.71,37.9,36.62,35.42,35.07,10107,None,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-11-01,Rabi,39.4,37.37,43.11,40.55,39.21,39.99,13196,None,0,1
Kozhikode,Vadakara,Tomato,2025-11-02,Rabi,31.57,28.08,35.15,28.9,31.07,29.77,14122,None,0,1
Malappuram,Tirur,Onion,2025-11-03,Rabi,41.55,39.41,44.32,43.96,42.03,41.35,16331,None,0,1
Malappuram,Tirur,Banana,2025-11-04,Rabi,34.58,31.32,38.41,34.63,35.31,34.73,11072,None,0,0
Thrissur,Chalakudy,Onion,2025-11-05,Rabi,40.81,38.18,44.09,40.76,38.72,41.29,12165,Flood,1,1
Palakkad,Alathur,Tomato,2025-11-06,Rabi,34.1,30.69,37.97,31.66,29.16,30.03,15412,None,0,1
Kozhikode,Vadakara,Tomato,2025-11-07,Rabi,30.8,26.87,33.22,31.27,28.31,28.84,12967,Drought,0,0
Kozhikode,Vadakara,Tomato,2025-11-08,Rabi,27.27,24.41,30.39,26.47,30.75,29.02,16816,Flood,1,1
Malappuram,Tirur,Onion,2025-11-09,Rabi,42.45,39.61,44.45,40.09,38.6,37.71,9652,Drought,0,0
Malappuram,Tirur,Tomato,2025-11-10,Rabi,31.53,29.09,35.44,30.91,30.69,28.48,14393,Flood,0,1
Thiruvananthapuram,Neyyattinkara,Paddy,2025-11-11,Rabi,19.89,17.52,22.6,19.91,20.86,19.73,8540,Rain,0,0
Malappuram,Tirur,Paddy,2025-11-12,Rabi,22.94,20.9,25.19,23.54,22.58,21.32,12428,None,0,0
Malappuram,Tirur,Paddy,2025-11-13,Rabi,17.55,14.08,21.49,17.14,20.96,22.95,14060,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-11-14,Rabi,33.07,29.39,35.33,33.97,28.93,30.12,12708,Flood,1,0
Kozhikode,Vadakara,Tomato,2025-11-15,Rabi,28.12,25.77,30.92,27.54,29.69,31.61,5757,Flood,0,1
Thiruvananthapuram,Neyyattinkara,Paddy,2025-11-16,Rabi,11.71,8.74,14.72,10.3,18.94,22.18,14195,Drought,0,0
Kollam,Kottarakkara,Banana,2025-11-17,Rabi,36.51,33.96,39.37,37.71,37.09,34.56,11530,None,0,0
Thrissur,Chalakudy,Onion,2025-11-18,Rabi,40.69,38.4,43.27,42.56,38.83,39.35,11073,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Onion,2025-11-19,Rabi,35.79,33.64,38.89,36.0,37.17,40.05,14595,Drought,0,1
Thiruvananthapuram,Neyyattinkara,Paddy,2025-11-20,Rabi,20.05,17.85,22.62,22.57,18.81,22.19,14025,Flood,0,0
Palakkad,Alathur,Tomato,2025-11-21,Rabi,26.57,23.77,30.03,30.64,29.9,29.12,7778,None,0,0
Ernakulam,Perumbavoor,Banana,2025-11-22,Rabi,33.56,30.06,37.02,33.37,34.15,33.7,13899,Rain,0,0
Kollam,Kottarakkara,Onion,2025-11-23,Rabi,39.22,36.89,41.47,36.32,39.78,37.63,13061,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Onion,2025-11-24,Rabi,38.04,34.14,41.22,38.29,41.97,39.05,15183,Flood,0,0
Kozhikode,Vadakara,Paddy,2025-11-25,Rabi,20.13,16.75,22.63,22.76,20.45,20.16,14061,None,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-11-26,Rabi,20.13,16.91,23.39,18.87,20.28,20.96,16026,None,0,0
Kozhikode,Vadakara,Tomato,2025-11-27,Rabi,26.13,23.59,28.17,26.16,30.94,30.19,15929,None,0,1
Kozhikode,Vadakara,Paddy,2025-11-28,Rabi,20.85,17.68,23.31,20.57,21.89,21.1,10828,None,0,0
Kollam,Kottarakkara,Tomato,2025-11-29,Rabi,31.03,28.17,34.52,30.05,29.08,29.47,16059,Flood,0,0
Kollam,Kottarakkara,Banana,2025-11-30,Rabi,27.56,25.49,30.39,28.15,34.05,32.32,12929,None,0,0
Thrissur,Chalakudy,Paddy,2025-12-01,Rabi,21.95,19.62,24.12,22.83,17.02,22.37,9786,Flood,1,0
Malappuram,Tirur,Tomato,2025-12-02,Rabi,31.37,28.35,34.78,32.48,28.68,30.66,10843,None,0,1
Kollam,Kottarakkara,Tomato,2025-12-03,Rabi,25.86,23.72,29.66,27.61,28.84,29.15,10790,None,0,0
Kozhikode,Vadakara,Paddy,2025-12-04,Rabi,21.54,19.38,24.74,21.45,21.82,19.66,9772,Flood,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-12-05,Rabi,20.77,16.89,24.48,23.62,20.83,22.09,12115,None,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-12-06,Rabi,29.03,25.85,32.72,28.66,29.75,30.6,16123,None,0,1
Kozhikode,Vadakara,Tomato,2025-12-07,Rabi,30.72,28.03,33.92,32.5,28.55,29.59,9827,Flood,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-12-08,Rabi,30.63,28.4,33.93,30.09,31.09,29.07,12129,Rain,0,1
Thrissur,Chalakudy,Paddy,2025-12-09,Rabi,22.37,19.4,26.34,19.27,24.18,20.72,5924,Drought,0,0
Palakkad,Alathur,Banana,2025-12-10,Rabi,34.32,30.77,36.77,34.37,33.88,34.99,14242,Flood,0,0
Palakkad,Alathur,Onion,2025-12-11,Rabi,40.6,38.58,42.9,41.28,39.84,41.78,7562,None,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-12-12,Rabi,30.28,27.75,33.34,30.38,31.22,29.16,6768,None,0,0
Ernakulam,Perumbavoor,Onion,2025-12-13,Rabi,20.16,17.95,22.46,20.58,42.23,38.73,15464,None,0,1
Ernakulam,Perumbavoor,Tomato,2025-12-14,Rabi,34.73,31.28,37.12,34.16,28.06,29.59,12042,Drought,0,0
Palakkad,Alathur,Tomato,2025-12-15,Rabi,31.13,27.92,33.36,30.24,32.33,28.89,6782,Flood,1,0
Kollam,Kottarakkara,Paddy,2025-12-16,Rabi,23.21,19.31,26.24,19.8,20.69,24.12,11963,Flood,0,0
Malappuram,Tirur,Paddy,2025-12-17,Rabi,18.76,14.82,22.25,18.67,20.92,21.16,13986,Drought,0,0
Kollam,Kottarakkara,Tomato,2025-12-18,Rabi,27.92,24.79,30.92,30.45,30.37,30.73,10115,Drought,0,0
Palakkad,Alathur,Onion,2025-12-19,Rabi,42.57,40.15,46.13,42.18,40.42,39.07,9009,None,0,1
Thiruvananthapuram,Neyyattinkara,Onion,2025-12-20,Rabi,41.38,38.28,44.09,40.71,38.72,39.36,14096,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-12-21,Rabi,28.74,25.79,31.43,28.56,30.02,28.08,7586,Flood,1,0
Ernakulam,Perumbavoor,Onion,2025-12-22,Rabi,40.67,36.94,43.53,39.56,41.59,40.97,14157,Flood,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-12-23,Rabi,43.64,40.84,47.38,43.52,40.97,39.42,19357,Rain,0,1
Ernakulam,Perumbavoor,Paddy,2025-12-24,Rabi,24.97,21.5,28.57,24.99,21.58,22.36,11558,None,0,0
Malappuram,Tirur,Onion,2025-12-25,Rabi,38.69,35.23,41.07,40.0,40.12,40.18,9497,None,0,1
Kollam,Kottarakkara,Onion,2025-12-26,Rabi,36.56,33.03,38.79,36.91,41.36,39.77,16309,Rain,0,0
Palakkad,Alathur,Onion,2025-12-27,Rabi,38.59,36.46,42.51,37.01,39.9,39.92,14309,Drought,0,1
Ernakulam,Perumbavoor,Tomato,2025-12-28,Rabi,28.45,26.37,31.75,30.5,32.95,29.96,15749,None,0,0
Malappuram,Tirur,Banana,2025-12-29,Rabi,31.89,28.81,35.53,33.5,35.57,34.86,11953,Drought,0,0
Palakkad,Alathur,Onion,2025-12-30,Rabi,34.09,30.67,37.06,33.13,39.06,39.02,12366,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-12-31,Rabi,39.16,36.09,41.82,37.92,38.41,39.28,15364,Flood,0,0
Palakkad,Alathur,Banana,2025-01-01,Rabi,32.68,30.42,36.27,31.91,33.31,34.34,13368,Flood,1,0
Kozhikode,Vadakara,Banana,2025-01-02,Rabi,27.91,23.99,30.54,29.44,36.15,32.95,9083,Rain,0,0
Kozhikode,Vadakara,Banana,2025-01-03,Rabi,33.1,30.47,36.41,31.97,34.34,32.05,8646,Flood,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-01-04,Rabi,24.08,20.67,27.06,22.69,22.87,21.36,6572,None,0,0
Kozhikode,Vadakara,Banana,2025-01-05,Rabi,35.27,31.73,39.04,35.09,33.32,34.24,13423,Drought,0,0
Kollam,Kottarakkara,Banana,2025-01-06,Rabi,35.42,32.91,37.85,37.19,34.61,32.62,10579,Rain,0,0
Malappuram,Tirur,Banana,2025-01-07,Rabi,39.89,36.11,42.02,40.98,37.55,35.4,12725,Flood,0,0
Palakkad,Alathur,Paddy,2025-01-08,Rabi,21.6,18.26,24.87,21.55,18.39,21.02,15632,None,0,0
Malappuram,Tirur,Tomato,2025-01-09,Rabi,28.8,26.3,31.77,29.42,31.28,29.09,10646,None,0,1
Kozhikode,Vadakara,Onion,2025-01-10,Rabi,22.78,20.12,26.67,21.55,38.07,39.1,16258,Rain,0,1
Thiruvananthapuram,Neyyattinkara,Banana,2025-01-11,Rabi,32.17,28.57,34.88,32.36,33.25,35.18,15933,Rain,0,0
Malappuram,Tirur,Banana,2025-01-12,Rabi,35.73,33.06,39.48,36.19,33.65,32.81,17830,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-01-13,Rabi,19.48,17.08,23.37,20.48,22.59,20.44,15114,None,0,0
Palakkad,Alathur,Paddy,2025-01-14,Rabi,22.53,19.89,26.3,25.12,20.3,19.71,10483,Rain,0,0
Kozhikode,Vadakara,Paddy,2025-01-15,Rabi,21.42,18.4,24.19,21.51,20.41,19.09,13411,None,0,0
Palakkad,Alathur,Tomato,2025-01-16,Rabi,33.94,31.27,37.69,34.64,30.91,30.57,13191,Rain,0,0
Kollam,Kottarakkara,Banana,2025-01-17,Rabi,35.86,32.74,38.81,36.45,33.53,33.2,11253,Drought,0,0
Kozhikode,Vadakara,Paddy,2025-01-18,Rabi,21.63,18.42,24.39,21.16,21.47,21.44,14499,Rain,0,0
Thrissur,Chalakudy,Banana,2025-01-19,Rabi,36.57,32.87,40.08,36.69,32.04,33.65,12132,Rain,0,0
Ernakulam,Perumbavoor,Tomato,2025-01-20,Rabi,26.33,22.78,28.52,28.41,30.21,30.38,16096,Flood,0,1
Kollam,Kottarakkara,Banana,2025-01-21,Rabi,32.74,30.22,36.45,33.6,33.84,33.82,9683,Rain,0,0
Kozhikode,Vadakara,Paddy,2025-01-22,Rabi,24.33,21.28,27.19,23.77,22.05,19.12,15539,Flood,1,0
Palakkad,Alathur,Banana,2025-01-23,Rabi,36.1,32.14,38.69,36.25,33.66,34.4,18866,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-01-24,Rabi,30.47,26.65,33.89,31.64,32.63,33.98,11256,Flood,1,0
Palakkad,Alathur,Tomato,2025-01-25,Rabi,29.14,25.48,32.34,29.12,28.3,31.03,6617,Flood,0,0
Kollam,Kottarakkara,Banana,2025-01-26,Rabi,35.08,31.32,37.94,34.59,32.24,34.2,7329,Flood,0,0
Malappuram,Tirur,Tomato,2025-01-27,Rabi,30.08,27.53,33.59,27.95,30.69,29.08,10647,Flood,0,1
Kollam,Kottarakkara,Banana,2025-01-28,Rabi,34.59,30.69,37.78,33.43,33.91,32.49,13892,Rain,0,0
Palakkad,Alathur,Banana,2025-01-29,Rabi,37.53,34.7,39.9,41.72,34.14,34.79,6658,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-01-30,Rabi,33.01,30.11,35.64,34.17,29.27,31.24,11236,Drought,0,1
Malappuram,Tirur,Paddy,2025-01-31,Rabi,20.08,16.55,23.05,20.79,19.4,22.02,8832,Drought,0,0
Kollam,Kottarakkara,Tomato,2025-02-01,Rabi,27.9,24.63,30.44,26.54,31.14,29.38,7956,Flood,1,1
Palakkad,Alathur,Onion,2025-02-02,Rabi,38.79,36.12,42.3,38.74,38.23,38.85,18333,None,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-02-03,Rabi,28.28,25.13,30.52,27.8,29.45,29.58,13864,Drought,0,0
Palakkad,Alathur,Banana,2025-02-04,Rabi,35.9,33.03,38.59,35.44,32.15,35.27,11713,None,0,0
Kozhikode,Vadakara,Tomato,2025-02-05,Rabi,33.46,30.27,36.65,30.09,30.29,31.92,10940,Flood,0,1
Malappuram,Tirur,Tomato,2025-02-06,Rabi,29.55,25.68,32.71,29.99,29.16,29.69,10986,Drought,0,0
Ernakulam,Perumbavoor,Paddy,2025-02-07,Rabi,19.75,15.93,21.88,21.59,21.69,21.25,14425,None,0,0
Thrissur,Chalakudy,Paddy,2025-02-08,Rabi,20.47,17.7,23.94,19.31,20.1,21.0,8822,Flood,1,0
Kozhikode,Vadakara,Banana,2025-02-09,Rabi,33.0,29.23,36.92,32.23,37.19,31.23,11461,None,0,0
Thrissur,Chalakudy,Banana,2025-02-10,Rabi,37.45,33.51,40.18,37.63,35.13,34.1,9997,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-02-11,Rabi,29.52,26.5,31.72,29.83,32.84,33.2,10503,None,0,0
Kollam,Kottarakkara,Banana,2025-02-12,Rabi,37.49,34.6,41.09,41.1,34.33,33.54,8468,None,0,0
Kollam,Kottarakkara,Banana,2025-02-13,Rabi,34.94,32.58,36.94,37.61,33.63,31.62,14010,Rain,0,0
Thrissur,Chalakudy,Banana,2025-02-14,Rabi,35.97,33.22,39.12,33.59,34.26,34.45,11780,Rain,0,0
Malappuram,Tirur,Paddy,2025-02-15,Rabi,19.42,16.47,22.11,20.94,20.39,19.51,5851,Flood,1,0
Kozhikode,Vadakara,Onion,2025-02-16,Rabi,42.52,39.73,46.39,43.44,40.13,39.56,10413,Flood,0,1
Kollam,Kottarakkara,Onion,2025-02-17,Rabi,37.85,35.64,41.25,37.2,36.82,39.26,11067,Drought,0,1
Palakkad,Alathur,Banana,2025-02-18,Rabi,35.22,32.48,37.91,35.16,35.19,35.35,15174,Flood,0,0
Ernakulam,Perumbavoor,Tomato,2025-02-19,Rabi,30.94,27.14,33.37,30.96,28.53,30.74,17039,Rain,0,1
Kozhikode,Vadakara,Onion,2025-02-20,Rabi,40.68,38.38,42.7,43.56,37.71,38.85,14565,Flood,1,1
Thiruvananthapuram,Neyyattinkara,Paddy,2025-02-21,Rabi,21.53,19.29,24.66,23.5,20.98,20.13,11359,Flood,1,0
Thrissur,Chalakudy,Paddy,2025-02-22,Rabi,30.49,27.85,33.06,28.8,22.46,21.87,13089,None,0,0
Malappuram,Tirur,Tomato,2025-02-23,Rabi,13.28,10.28,15.95,12.74,28.16,31.18,10248,None,0,0
Ernakulam,Perumbavoor,Onion,2025-02-24,Rabi,37.83,35.78,41.39,37.87,39.04,41.48,9795,Rain,0,0
Malappuram,Tirur,Banana,2025-02-25,Rabi,31.2,28.58,34.98,27.97,33.95,33.44,7713,Rain,0,0
Kollam,Kottarakkara,Tomato,2025-02-26,Rabi,32.38,28.91,35.57,33.38,29.96,31.36,13987,Drought,0,1
Thrissur,Chalakudy,Banana,2025-02-27,Rabi,32.35,29.33,36.03,30.79,35.23,34.4,12509,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-02-28,Rabi,19.31,16.3,22.98,20.22,19.87,20.9,16340,Flood,1,0
Thrissur,Chalakudy,Tomato,2025-03-01,Rabi,28.68,25.05,30.86,26.32,28.42,30.99,12764,Flood,1,0
Malappuram,Tirur,Onion,2025-03-02,Rabi,39.74,36.83,42.91,38.98,40.73,39.15,12916,Rain,0,1
Ernakulam,Perumbavoor,Tomato,2025-03-03,Rabi,28.54,26.45,32.23,27.19,29.04,29.62,11853,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-03-04,Rabi,21.47,19.04,24.7,15.94,19.79,20.61,16515,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-03-05,Rabi,31.84,29.39,34.01,32.08,36.24,32.69,13181,Flood,1,0
Ernakulam,Perumbavoor,Paddy,2025-03-06,Rabi,19.4,16.37,22.86,18.64,19.8,20.27,20165,Rain,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-03-07,Rabi,22.69,20.19,25.0,24.34,21.74,19.39,13184,Rain,0,0
Thrissur,Chalakudy,Paddy,2025-03-08,Rabi,23.15,20.49,26.01,21.87,22.45,21.7,17556,Flood,0,0
Kozhikode,Vadakara,Tomato,2025-03-09,Rabi,29.16,25.23,33.02,27.51,29.46,31.44,6514,Flood,1,1
Palakkad,Alathur,Onion,2025-03-10,Rabi,35.86,32.03,38.91,35.99,39.34,40.01,14835,Rain,0,0
Thrissur,Chalakudy,Onion,2025-03-11,Rabi,38.89,36.29,40.95,36.08,43.07,39.0,8822,None,0,1
Kozhikode,Vadakara,Tomato,2025-03-12,Rabi,32.21,29.87,35.69,31.63,29.9,30.48,15250,Drought,0,0
Thrissur,Chalakudy,Paddy,2025-03-13,Rabi,20.33,18.11,23.46,22.61,17.8,21.76,9481,None,0,0
Palakkad,Alathur,Onion,2025-03-14,Rabi,42.74,39.43,45.2,42.95,38.99,40.66,14679,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-03-15,Rabi,31.28,27.69,34.2,29.74,29.27,30.0,11876,Rain,0,0
Ernakulam,Perumbavoor,Onion,2025-03-16,Rabi,41.5,38.11,44.27,38.48,40.5,39.71,9484,Flood,1,1
Thiruvananthapuram,Neyyattinkara,Onion,2025-03-17,Rabi,38.52,35.01,41.63,38.2,34.6,39.3,9372,None,0,1
Malappuram,Tirur,Paddy,2025-03-18,Rabi,22.07,20.01,24.52,20.86,20.68,22.54,14983,Drought,0,0
Malappuram,Tirur,Banana,2025-03-19,Rabi,35.8,32.13,39.61,35.05,34.81,33.77,11411,Drought,0,0
Ernakulam,Perumbavoor,Tomato,2025-03-20,Rabi,30.82,28.52,33.63,29.92,32.24,29.84,13855,Flood,0,1
Malappuram,Tirur,Onion,2025-03-21,Rabi,42.91,40.52,45.54,44.46,37.89,40.44,14552,Flood,1,0
Malappuram,Tirur,Paddy,2025-03-22,Rabi,22.78,19.29,26.72,21.11,20.01,21.99,9714,None,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-03-23,Rabi,39.4,35.8,42.94,41.76,39.93,39.27,9367,Rain,0,0
Malappuram,Tirur,Tomato,2025-03-24,Rabi,30.67,28.44,34.26,28.67,29.63,30.33,15897,Drought,0,0
Kollam,Kottarakkara,Paddy,2025-03-25,Rabi,22.34,20.19,25.3,21.27,22.77,20.7,8292,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-03-26,Rabi,29.66,27.03,32.74,31.82,30.25,30.01,16911,None,0,0
Thrissur,Chalakudy,Tomato,2025-03-27,Rabi,27.14,23.81,30.34,25.21,27.58,30.37,12499,Rain,0,1
Kozhikode,Vadakara,Onion,2025-03-28,Rabi,43.09,40.12,45.2,43.46,39.39,40.0,12353,Flood,0,1
Kollam,Kottarakkara,Onion,2025-03-29,Rabi,36.66,33.4,40.49,40.73,40.78,40.21,13845,Flood,1,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-03-30,Rabi,35.42,31.66,37.87,35.21,33.05,34.6,13157,Rain,0,0
Palakkad,Alathur,Paddy,2025-03-31,Rabi,19.38,16.11,23.06,21.51,21.44,21.73,16175,Flood,1,0
Palakkad,Alathur,Banana,2025-04-01,Rabi,34.04,30.91,37.58,34.52,35.22,33.28,12162,None,0,0
Ernakulam,Perumbavoor,Paddy,2025-04-02,Rabi,21.25,17.93,24.12,19.82,24.48,19.59,8105,Drought,0,0
Palakkad,Alathur,Banana,2025-04-03,Rabi,36.63,33.23,39.58,37.7,32.46,34.61,16403,None,0,0
Thiruvananthapuram,Neyyattinkara,Paddy,2025-04-04,Rabi,20.94,18.89,23.5,24.84,18.41,21.69,15499,Rain,0,0
Malappuram,Tirur,Paddy,2025-04-05,Rabi,22.78,18.94,24.91,22.47,20.56,21.44,14447,Rain,0,0
Palakkad,Alathur,Onion,2025-04-06,Rabi,41.2,38.67,43.55,42.76,38.47,39.77,9179,Drought,0,0
Kozhikode,Vadakara,Tomato,2025-04-07,Rabi,29.23,25.41,31.44,30.75,30.16,32.61,12580,None,0,1
Palakkad,Alathur,Onion,2025-04-08,Rabi,40.12,36.61,43.58,40.28,39.04,39.94,15383,None,0,1
Kozhikode,Vadakara,Onion,2025-04-09,Rabi,40.23,36.5,43.36,39.04,38.61,39.55,12221,Rain,0,1
Palakkad,Alathur,Tomato,2025-04-10,Rabi,32.39,28.87,35.84,30.38,29.52,30.14,6498,None,0,0
Kozhikode,Vadakara,Paddy,2025-04-11,Rabi,19.33,16.52,21.51,18.31,19.81,21.19,11518,None,0,0
Thiruvananthapuram,Neyyattinkara,Banana,2025-04-12,Rabi,32.89,29.3,36.66,33.53,36.58,35.64,6231,Drought,0,0
Ernakulam,Perumbavoor,Onion,2025-04-13,Rabi,41.15,38.66,44.29,40.88,40.23,39.6,12352,None,0,1
Kozhikode,Vadakara,Paddy,2025-04-14,Rabi,21.3,17.4,23.95,20.43,19.66,20.55,12702,Drought,0,0
Kollam,Kottarakkara,Tomato,2025-04-15,Rabi,31.2,28.59,33.69,32.48,29.26,30.28,14887,Rain,0,0
Ernakulam,Perumbavoor,Onion,2025-04-16,Rabi,42.33,38.67,45.4,42.24,39.67,40.19,8550,Drought,0,1
Kozhikode,Vadakara,Onion,2025-04-17,Rabi,39.61,36.81,42.19,40.73,40.96,39.73,12653,None,0,1
Kozhikode,Vadakara,Banana,2025-04-18,Rabi,32.35,28.7,35.45,33.41,33.88,33.72,10914,None,0,0
Malappuram,Tirur,Tomato,2025-04-19,Rabi,29.87,26.86,33.19,29.2,30.99,29.6,16778,Rain,0,0
Thrissur,Chalakudy,Paddy,2025-04-20,Rabi,23.93,21.48,27.58,22.59,21.1,20.35,11020,None,0,0
Thiruvananthapuram,Neyyattinkara,Tomato,2025-04-21,Rabi,51.01,48.35,54.16,50.55,30.54,30.54,8998,None,0,0
Malappuram,Tirur,Paddy,2025-04-22,Rabi,19.29,15.5,22.34,17.48,19.67,18.15,13633,Rain,0,0
Ernakulam,Perumbavoor,Paddy,2025-04-23,Rabi,25.11,22.92,28.82,25.33,18.88,20.36,10623,None,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-04-24,Rabi,37.96,35.56,40.8,39.25,41.22,38.84,14175,Drought,0,0
Kozhikode,Vadakara,Tomato,2025-04-25,Rabi,33.05,29.86,35.96,35.9,34.3,29.1,20472,Flood,1,1
Palakkad,Alathur,Banana,2025-04-26,Rabi,33.29,30.03,35.58,32.4,34.49,33.42,13197,Rain,0,0
Palakkad,Alathur,Banana,2025-04-27,Rabi,31.36,27.53,33.84,31.0,35.93,33.94,12424,Flood,1,0
Malappuram,Tirur,Onion,2025-04-28,Rabi,40.95,38.52,44.82,42.71,37.52,40.58,11195,Flood,1,0
Kozhikode,Vadakara,Paddy,2025-04-29,Rabi,21.33,17.94,23.48,22.92,19.21,19.99,6193,Flood,1,0
Kollam,Kottarakkara,Paddy,2025-04-30,Rabi,19.9,16.54,22.14,21.9,20.82,19.66,10542,Drought,0,0
Ernakulam,Perumbavoor,Paddy,2025-05-01,Rabi,18.02,14.89,20.62,16.33,21.58,19.83,15337,Flood,1,0
Ernakulam,Perumbavoor,Paddy,2025-05-02,Rabi,20.86,17.04,22.94,20.99,20.58,21.77,14349,Flood,1,0
Kozhikode,Vadakara,Banana,2025-05-03,Rabi,34.67,31.62,37.93,35.52,33.68,34.54,10986,Drought,0,0
Thiruvananthapuram,Neyyattinkara,Onion,2025-05-04,Rabi,40.0,36.31,43.43,39.59,39.31,39.31,13403,Drought,0,1
Thrissur,Chalakudy,Paddy,2025-05-05,Rabi,23.62,20.12,27.17,25.38,19.12,22.29,11045,None,0,0
Thrissur,Chalakudy,Tomato,2025-05-06,Rabi,31.2,27.42,34.02,29.84,30.21,30.31,7546,Flood,0,1
Thrissur,Chalakudy,Tomato,2025-05-07,Rabi,31.22,28.89,33.83,33.24,29.74,31.36,11430,None,0,0
